ID,Item_Outlet_Sales
FDW58OUT049,1985.5296453777992
FDW14OUT017,1308.5526181286277
NCN55OUT010,2249.9562954060866
FDQ58OUT017,2379.4180230754937
FDY38OUT027,4952.408691006614
FDH56OUT046,1851.2671528149895
FDL48OUT018,1271.906516182672
FDC48OUT027,2761.8933628884843
FDN33OUT045,1294.7952215156783
FDA36OUT017,2892.7422058989596
FDT44OUT017,1670.1090645561198
FDQ56OUT045,1160.8508068379888
NCC54OUT019,2608.699473182074
FDU11OUT049,2107.739115806118
DRL59OUT013,603.1778589396981
FDM24OUT049,2570.4092314702593
FDI57OUT045,2989.6042924475823
DRC12OUT018,3526.517430574175
NCM42OUT027,3175.936075357813
FDA46OUT010,1367.739725529179
FDA31OUT013,2347.1211839184107
NCJ31OUT035,3208.675631469425
FDG52OUT046,783.9654747369714
NCL19OUT019,1310.2800104051666
FDS10OUT035,2529.162198379514
FDX22OUT010,1663.391482677168
NCF19OUT035,493.6767282540368
NCE06OUT046,2495.290405811389
DRC27OUT046,3820.0392512471262
FDE21OUT035,1567.6053841759476
NCR42OUT019,-438.48900311208035
FDX51OUT018,3602.7631330250133
NCR06OUT018,1270.451654490118
FDU31OUT027,4836.517825961051
FDU59OUT017,2412.2186853730727
FDR03OUT027,4681.631679608408
FDS49OUT027,2652.8543855898915
FDD48OUT010,379.9836330601365
NCF18OUT017,2826.0327500203985
NCD43OUT027,3098.057282931273
NCD54OUT018,2777.337625480068
FDY19OUT010,372.3479751150844
NCY54OUT017,2420.0388653904847
NCL19OUT018,2821.3987588870823
FDP23OUT010,1960.4378430306633
FDC26OUT013,1362.7056238186888
FDR14OUT010,-690.4000519171786
NCS41OUT035,2556.2226573735097
FDF41OUT035,3427.4429614782202
FDU34OUT046,1945.8761905725023
DRH11OUT046,932.6265915024069
FDM03OUT013,1287.4536985177747
FDS31OUT017,2922.640440221632
FDJ20OUT017,1927.7044126855926
FDV44OUT027,4368.232096773485
FDG02OUT049,3242.192498696064
FDA09OUT013,2582.1937924180147
FDT04OUT013,248.91069047461315
FDL58OUT019,3012.7251100621706
FDE52OUT045,1156.5232409015516
FDW12OUT035,1996.9002888391115
FDL51OUT017,3045.1545179364985
NCY42OUT027,3681.9153942112334
FDR07OUT017,1373.531737441419
FDN40OUT045,2229.0134858490055
FDB35OUT027,2840.3740324879327
FDA22OUT017,2456.0996394041194
NCL06OUT046,4068.999277415187
FDI35OUT013,2560.668043113812
NCW42OUT045,3512.2665707950327
NCX06OUT049,3086.721522635342
FDC37OUT027,3152.4863561667753
FDZ14OUT018,2443.2813412942605
DRG49OUT049,4027.112566042486
NCG06OUT045,3893.933193913468
DRC36OUT045,2615.913681244867
FDV21OUT019,628.5421507232677
FDB53OUT046,2220.04311675813
DRP47OUT019,2684.650328521875
FDA14OUT013,1955.0669015368985
DRC24OUT035,2127.440059312252
FDW21OUT018,2171.142352150642
NCH29OUT046,1608.3394821114507
FDU58OUT013,2683.203565703807
FDY27OUT017,2902.7617690160405
FDV56OUT035,1462.0467554317038
FDT59OUT046,3677.871235868859
FDB23OUT046,3613.5655272783315
FDR49OUT045,317.98353028613747
FDB03OUT010,1816.813672932958
FDN39OUT045,2362.2724293722276
FDX02OUT027,4876.848118901673
FDQ16OUT027,3127.940961425951
FDU35OUT018,2054.0492539280704
NCT29OUT013,1611.551172995827
FDZ27OUT046,871.7187416592224
FDN57OUT017,1887.715508755864
FDA03OUT018,2792.183317850965
FDZ36OUT045,2772.3637437839698
NCU05OUT013,991.544993929163
FDT39OUT018,2952.345450386895
